what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247333273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247335641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247337124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247410411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247525033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247625190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342247631969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342247636860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247645308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247647562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247649424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247678061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342247685619
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342247686787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342247735124
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342247805615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342247838624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247883160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342247898680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342247911237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342247998271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248003321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248029793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248072167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248093497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248105866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342248108773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248360628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248380672
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342248435095
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342248437679
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342248480116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342248491230
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342248492828
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1342248532310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342248533240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342248534888
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1342248568163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342248569068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342248570723
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342248577418
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1342248627185
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1342248627518
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248631000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248641945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342248660018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248671294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248674278
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342248675056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342248677605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1342248680649
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342248681570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342248683127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248684140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248685158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248694117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248708887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248709429
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248713797
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248717304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248717777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248732745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248752266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248764238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342248932985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248934402
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248942893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248943273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342248960470
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342249228586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249232175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249243333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249249155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249249701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249253134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249256071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249264263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249272036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249278067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249286045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249295367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249295888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249299784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249309459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249326920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249327776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249352673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342249364276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249365117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249410077
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249412384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249429393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249430392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249463359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249464710
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249466886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249468139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249534786
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249535360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249535752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249536044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249536319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249536667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249538020
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249539573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249540181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342249541685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342250240062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342250242995
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342250243852
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1342250244558
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1342250245039
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1342250245042
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1342250245088
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1342250245178
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1342274110018
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1342274110020
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1342274110021
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1342274110022
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1342274110022
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1342274110023
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1342274110024
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1342274110024
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1342274110025
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1342274110025
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1342274110026
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1342274110026
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1342274110027
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1342274110027
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1342274110028
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1342274110028
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1342274110029
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1342274110029
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1342274110030
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1342274110030
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1342274110030
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1342274110031
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1342274110032
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1342274110032
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1342274110032
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1342274110033
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1342274110033
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1342274110034
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1342274110034
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1342274110035
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1342274110035
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1342274110036
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1342274110036
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1342274110037
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1342274110037
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1342274110038
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1342274110038
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1342274110040
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1342274110041
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1342274110042
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1342274110042
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1342274110043
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1342274110044
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1342274110044
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1342274110044
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1342274110045
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1342274110045
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1342274110046
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1342274110047
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1342274110047
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1342274110048
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1342274110048
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1342274110049
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1342274110049
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1342274110050
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1342274110051
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1342274110051
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1342274110052
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1342274110052
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1342274110053
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1342274110053
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1342274110054
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1342274110055
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1342274110057
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1342274110057
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1342274110057
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1342274110058
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1342274110059
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1342274110060
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1342274110061
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1342274110061
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1342274110062
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1342274110063
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1342274110063
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1342274110064
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1342274110066
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1342274110066
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1342274110066
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1342274110067
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1342274110068
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110819-1700,"org.eclipse.team.svn.core",1342274110069
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1342274110069
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1342274110070
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1342274110070
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1342274110072
os,sysinfo,,,"linux",1342274110077
arch,sysinfo,,,"x86",1342274110077
ws,sysinfo,,,"gtk",1342274110077
locale,sysinfo,,,"es_BO",1342274110077
processors,sysinfo,,,"4",1342274110077
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1342274110077
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1342274110077
java.specification.name,sysinfo,,,"Java Platform API Specification",1342274110077
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342274110077
java.specification.version,sysinfo,,,"1.6",1342274110077
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342274110077
java.version,sysinfo,,,"1.6.0_22",1342274110077
java.vm.info,sysinfo,,,"mixed mode, sharing",1342274110077
java.vm.name,sysinfo,,,"OpenJDK Client VM",1342274110077
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342274110077
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342274110077
java.vm.specification.version,sysinfo,,,"1.0",1342274110077
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342274110077
java.vm.version,sysinfo,,,"20.0-b11",1342274110077
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1342274110082
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1342274110339
stopped,bundle,org.eclipse.actf.model.flash.proxy,0.9.1.R201109141305,"org.eclipse.actf.model.flash.proxy",1342274110409
error,log,,,"An error occurred while automatically activating bundle org.eclipse.actf.model.flash.proxy (358).",1342274110432
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1342274110435
error,log,,,"Unhandled Exception",1342274110437
error,log,,,"Unable to execute early startup code for an extension",1342274110438
started,bundle,org.eclipse.actf.visualization.blind,0.9.1.R201109141305,"org.eclipse.actf.visualization.blind",1342274110445
started,bundle,org.eclipse.actf.model.ui,0.9.1.R201109141305,"org.eclipse.actf.model.ui",1342274110447
started,bundle,org.eclipse.actf.visualization.gui,0.9.1.R201109141305,"org.eclipse.actf.visualization.gui",1342274110458
started,bundle,org.eclipse.actf.ui,0.9.1.R201109141305,"org.eclipse.actf.ui",1342274110541
error,log,,,"Unhandled event loop exception",1342274110547
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1342274110570
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1342274110604
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1342274110612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274124047
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274168533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274203632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274216765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274217152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274220683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274221029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274221661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342274260052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342274266054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342274269056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274280521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274284103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1342274340826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342274343783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342274413028
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1342274550866
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1342274550887
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342274551241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274573427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274590440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342274717171
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342274768758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342274776452
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342274778971
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342274781041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342274783389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274785886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274793278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274793799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342274794163
